# Cloud and datacenter IP ranges used for local bot-detection signals.
# Generated 2026-07-18 from https://github.com/rezmoss/cloud-provider-ip-addresses (CC0-1.0).
# Format: hexadecimal start address, a tab, then hexadecimal end address.
0fbe1000	0fbe3fff
0fbe5000	0fbebfff
0fbee000	0fbee3ff
0fbee800	0fbeffff
0fc10000	0fc13fff
0fc18000	0fc1b3ff
0fc50000	0fc527ff
0fc54000	0fc55fff
0fc58000	0fc5ffff
0fc80000	0fc8ffff
0fc90100	0fc901ff
0fcc0000	0fcfffff
0fd80000	0fd9ffff
0fdc0000	0fdc2bff
0fdc3000	0fdc5fff
0fdc7000	0fdccfff
0fdcd080	0fdcd0bf
0fdcd800	0fdd35ff
0fdd8000	0fdd87ff
0fdd9000	0fdd99ff
0fdda000	0fdda7ff
0fddb000	0fddbfff
0fde0000	0fe1ffff
0fe30000	0fe5ffff
0fe60004	0fe60009
0fe6000c	0fe6000e
0fe60100	0fe601ff
0fe60300	0fe603ff
0fe60411	0fe60411
0fe60413	0fe60413
0fe60480	0fe60483
0fe60494	0fe604a7
0fe604b0	0fe604bf
0fe60500	0fe606ff
0fe6090a	0fe6090f
0fe6092c	0fe6092f
0fe609f8	0fe609f8
0fe609fc	0fe609fd
0fe60a00	0fe60aff
0fe60e00	0fe60f00
0fe60f03	0fe60f0b
0fe60f0d	0fe60f10
0fe60f18	0fe60fc3
0fe60fc8	0fe60fdb
0fe60ffe	0fe610ff
0fe61200	0fe613ff
0fe61500	0fe620ff
0fe62300	0fe62bff
0fe63000	0fe63f06
0fe63f08	0fe63f0b
0fe64000	0fe64fbf
0fe65000	0fe66402
0fe66500	0fe66b00
0fe66b02	0fe66b03
0fe66c00	0fe67501
0fe67600	0fe67701
0fe67800	0fe67801
0fe67900	0fe67909
0fe67a00	0fe67a07
0fe67b00	0fe67cff
0fe68100	0fe68aff
0fe68c00	0fe691ff
0fe69300	0fe69505
0fe69508	0fe6950b
0fe69600	0fe6a907
0fe6aa00	0fe6abff
